user_id,retweet_count,text
325597402,1185,"RT @DanaSchwartzzz: Donald Trump has 7 positions on his website. I read all of them so you don't have to. Or go do it, it's hilarious. http…"
3680392396,1,RT @Sherri_KG: @realDonaldTrump Stop being so Nasty Donald Trump it says a lot about your character and that your not to be trusted https:/…
25335524,1,"RT @ShawnKing: Interesting video dissecting Trump's style and why it resonates. ""A Linguistic Analysis of Trump’s Talking Style"" https://t.…"
25335524,1,"RT @ShawnKing: Interesting video dissecting Trump's style and why it resonates. ""A Linguistic Analysis of Trump’s Talking Style"" https://t.…"
3410689588,431,"RT @PhilBryantMS: We had about 5,000 supporters show up for Donald Trump Jr. today at the Neshoba County Fair. Huge crowd. https://t.co/R4V…"
381675763,0,Elizabeth Banks Compares Donald Trump to 'Hunger Games' Character at DNC https://t.co/ZsSs1pudY0
380624334,2,RT @robbysoave: The arc of the moral universe is long but it bends toward Hillary Clinton and Donald Trump of all people
3011446450,452,"RT @orDonaldTrump: Caveman SpongeBob or Donald Trump? 

Retweet for SpongeBob
Like for Trump https://t.co/4DvA2grBRL"
341040923,1187,"RT @DanaSchwartzzz: Donald Trump has 7 positions on his website. I read all of them so you don't have to. Or go do it, it's hilarious. http…"
16317079,0,Democrats Can't Believe The Demographic Trump Is Beginning To Win Over.... https://t.co/9YtmAQDJ69
27246538,451,RT @CNN: Elizabeth Banks imitates Donald Trump's entrance at the Republican convention https://t.co/DD7sJjbmti #DemsInPhilly https://t.co/l…
20472053,0,Bernie Sanders Is A Bigger Authoritarian Than Donald Trump https://t.co/79UdGfpCNW https://t.co/2zya5hAeKB
344770912,0,donald trump pode vir a ser o cara mais poderoso do mundo e temer é presidente... falta de estrutura p olimpíadas é o menor dos problemas
242338069,1282,"RT @DanaSchwartzzz: Hillary Clinton has detailed plans for 37 issues on her website
Donald Trump has 7 vague suggestions and 2 of them are…"
706022607741542400,431,"RT @PhilBryantMS: We had about 5,000 supporters show up for Donald Trump Jr. today at the Neshoba County Fair. Huge crowd. https://t.co/R4V…"
43574752,13704,RT @thinkdaii: When you gotta vote for Hillary Clinton so Donald Trump won't be president. https://t.co/e5oxHGgBwm
2522135638,13,"RT @SteveKoehler22: Biographies now on the market ....

Muhammad Ali    ""The Greatest""
Donald Trump      ""The Hatist"""
